name,pokedex_number,percentage_male,type1,type2,classification,capture_rate,base_egg_steps,abilities,experience_growth,base_happiness,hp,attack,defense,sp_attack,sp_defense,speed,generation,is_legendary,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water
Shellder,90,50.0,water,No Secondary Type,Bivalve ,190,5120,"['Shell Armor', 'Skill Link', 'Overcoat']",1250000,70,30,65,100,45,25,40,1,0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
Cloyster,91,50.0,water,ice,Bivalve ,60,5120,"['Shell Armor', 'Skill Link', 'Overcoat']",1250000,70,50,95,180,85,45,70,1,0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5
Gastly,92,50.0,ghost,poison,Gas ,190,5120,['Levitate'],1059860,70,30,35,30,100,35,80,1,0,0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0
Haunter,93,50.0,ghost,poison,Gas ,90,5120,['Levitate'],1059860,70,45,50,45,115,55,95,1,0,0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0
Gengar,94,50.0,ghost,poison,Shadow ,45,5120,['Cursed Body'],1059860,70,60,65,80,170,95,130,1,0,0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0
Onix,95,50.0,rock,ground,Rock Snake ,45,6400,"['Rock Head', 'Sturdy', 'Weak Armor']",1000000,70,35,45,160,30,45,70,1,0,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0
Drowzee,96,50.0,psychic,No Secondary Type,Hypnosis ,190,5120,"['Insomnia', 'Forewarn', 'Inner Focus']",1000000,70,60,48,45,43,90,42,1,0,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
Hypno,97,50.0,psychic,No Secondary Type,Hypnosis ,75,5120,"['Insomnia', 'Forewarn', 'Inner Focus']",1000000,70,85,73,70,73,115,67,1,0,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
Krabby,98,50.0,water,No Secondary Type,River Crab ,225,5120,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",1000000,70,30,105,90,25,25,50,1,0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
Kingler,99,50.0,water,No Secondary Type,Pincer ,60,5120,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",1000000,70,55,130,115,50,50,75,1,0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
Voltorb,100,50.0,electric,No Secondary Type,Ball ,190,5120,"['Soundproof', 'Static', 'Aftermath']",1000000,70,40,30,50,55,55,100,1,0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
Electrode,101,50.0,electric,No Secondary Type,Ball ,60,5120,"['Soundproof', 'Static', 'Aftermath']",1000000,70,60,50,70,80,80,150,1,0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
Exeggcute,102,50.0,grass,psychic,Egg ,90,5120,"['Chlorophyll', 'Harvest']",1250000,70,60,40,80,60,45,40,1,0,4.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0,2.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,0.5
Exeggutor,103,50.0,grass,psychic,Coconut ,45,5120,"['Chlorophyll', 'Harvest', 'Frisk', 'Harvest']",1250000,70,95,105,85,125,75,45,1,0,4.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0,2.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,0.5
Cubone,104,50.0,ground,No Secondary Type,Lonely ,190,5120,"['Rock Head', 'Lightningrod', 'Battle Armor']",1000000,70,50,50,95,40,50,35,1,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
Marowak,105,50.0,ground,fire,Bone Keeper ,75,5120,"['Rock Head', 'Lightningrod', 'Battle Armor', 'Cursed Body', 'Lightningrod', 'Rock Head']",1000000,70,60,80,110,50,80,45,1,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
Hitmonlee,106,100.0,fighting,No Secondary Type,Kicking ,45,6400,"['Limber', 'Reckless', 'Unburden']",1000000,70,50,120,53,35,110,87,1,0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0
Hitmonchan,107,100.0,fighting,No Secondary Type,Punching ,45,6400,"['Keen Eye', 'Iron Fist', 'Inner Focus']",1000000,70,50,105,79,35,110,76,1,0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0
Lickitung,108,50.0,normal,No Secondary Type,Licking ,45,5120,"['Own Tempo', 'Oblivious', 'Cloud Nine']",1000000,70,90,55,75,60,75,30,1,0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Koffing,109,50.0,poison,No Secondary Type,Poison Gas ,190,5120,['Levitate'],1000000,70,40,65,95,60,45,35,1,0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
Weezing,110,50.0,poison,No Secondary Type,Poison Gas ,60,5120,['Levitate'],1000000,70,65,90,120,85,70,60,1,0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
Rhyhorn,111,50.0,ground,rock,Spikes ,120,5120,"['Lightningrod', 'Rock Head', 'Reckless']",1250000,70,80,85,95,30,30,25,1,0,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0
Rhydon,112,50.0,ground,rock,Drill ,60,5120,"['Lightningrod', 'Rock Head', 'Reckless']",1250000,70,105,130,120,45,45,40,1,0,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0
Chansey,113,0.0,normal,No Secondary Type,Egg ,30,10240,"['Natural Cure', 'Serene Grace', 'Healer']",800000,140,250,5,5,35,105,50,1,0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tangela,114,50.0,grass,No Secondary Type,Vine ,45,5120,"['Chlorophyll', 'Leaf Guard', 'Regenerator']",1000000,70,65,55,115,100,40,60,1,0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5
Kangaskhan,115,0.0,normal,No Secondary Type,Parent ,45,5120,"['Early Bird', 'Scrappy', 'Inner Focus']",1000000,70,105,125,100,60,100,100,1,0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Horsea,116,50.0,water,No Secondary Type,Dragon ,225,5120,"['Swift Swim', 'Sniper', 'Damp']",1000000,70,30,40,70,70,25,60,1,0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
Seadra,117,50.0,water,No Secondary Type,Dragon ,75,5120,"['Poison Point', 'Sniper', 'Damp']",1000000,70,55,65,95,95,45,85,1,0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
Goldeen,118,50.0,water,No Secondary Type,Goldfish ,225,5120,"['Swift Swim', 'Water Veil', 'Lightningrod']",1000000,70,45,67,60,35,50,63,1,0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
Seaking,119,50.0,water,No Secondary Type,Goldfish ,60,5120,"['Swift Swim', 'Water Veil', 'Lightningrod']",1000000,70,80,92,65,65,80,68,1,0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
Staryu,120,50.0,water,No Secondary Type,Starshape ,225,5120,"['Illuminate', 'Natural Cure', 'Analytic']",1250000,70,30,45,55,70,55,85,1,0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
Starmie,121,50.0,water,psychic,Mysterious ,60,5120,"['Illuminate', 'Natural Cure', 'Analytic']",1250000,70,60,75,85,100,85,115,1,0,2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5
Mr. Mime,122,50.0,psychic,fairy,Barrier ,45,6400,"['Soundproof', 'Filter', 'Technician']",1000000,70,40,45,65,100,120,90,1,0,1.0,1.0,0.0,1.0,1.0,0.25,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0
Scyther,123,50.0,bug,flying,Mantis ,45,6400,"['Swarm', 'Technician', 'Steadfast']",1000000,70,70,110,80,55,80,105,1,0,0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0
Jynx,124,0.0,ice,psychic,Humanshape ,45,6400,"['Oblivious', 'Forewarn', 'Dry Skin']",1000000,70,65,50,35,115,95,95,1,0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,2.0,1.0
Electabuzz,125,75.4,electric,No Secondary Type,Electric ,45,6400,"['Static', 'Vital Spirit']",1000000,70,65,83,57,95,85,105,1,0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
Magmar,126,75.4,fire,No Secondary Type,Spitfire ,45,6400,"['Flame Body', 'Vital Spirit']",1000000,70,65,95,57,100,85,93,1,0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
Pinsir,127,50.0,bug,No Secondary Type,Stagbeetle ,45,6400,"['Hyper Cutter', 'Mold Breaker', 'Moxie']",1250000,70,65,155,120,65,90,105,1,0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0
Tauros,128,100.0,normal,No Secondary Type,Wild Bull ,45,5120,"['Intimidate', 'Anger Point', 'Sheer Force']",1250000,70,75,100,95,40,70,110,1,0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Magikarp,129,50.0,water,No Secondary Type,Fish ,255,1280,"['Swift Swim', 'Rattled']",1250000,70,20,10,55,15,20,80,1,0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
Gyarados,130,50.0,water,flying,Atrocious ,45,1280,"['Intimidate', 'Moxie']",1250000,70,95,155,109,70,130,81,1,0,0.5,1.0,1.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5
Lapras,131,50.0,water,ice,Transport ,45,10240,"['Water Absorb', 'Shell Armor', 'Hydration']",1250000,70,130,85,80,85,95,60,1,0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5
Ditto,132,50.0,normal,No Secondary Type,Transform ,35,5120,"['Limber', 'Imposter']",1000000,70,48,48,48,48,48,48,1,0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Eevee,133,88.1,normal,No Secondary Type,Evolution ,45,8960,"['Run Away', 'Adaptability', 'Anticipation']",1000000,70,55,55,50,45,65,55,1,0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Vaporeon,134,88.1,water,No Secondary Type,Bubble Jet ,45,8960,"['Water Absorb', 'Hydration']",1000000,70,130,65,60,110,95,65,1,0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
Jolteon,135,88.1,electric,No Secondary Type,Lightning ,45,8960,"['Volt Absorb', 'Quick Feet']",1000000,70,65,65,60,110,95,130,1,0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
Flareon,136,88.1,fire,No Secondary Type,Flame ,45,8960,"['Flash Fire', 'Guts']",1000000,70,65,130,60,95,110,65,1,0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
Porygon,137,50.0,normal,No Secondary Type,Virtual ,45,5120,"['Trace', 'Download', 'Analytic']",1000000,70,65,60,70,85,75,40,1,0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Omanyte,138,88.1,rock,water,Spiral ,45,7680,"['Swift Swim', 'Shell Armor', 'Weak Armor']",1000000,70,35,40,100,90,55,35,1,0,1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0
Omastar,139,88.1,rock,water,Spiral ,45,7680,"['Swift Swim', 'Shell Armor', 'Weak Armor']",1000000,70,70,60,125,115,70,55,1,0,1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0
Kabuto,140,88.1,rock,water,Shellfish ,45,7680,"['Swift Swim', 'Battle Armor', 'Weak Armor']",1000000,70,30,80,90,55,45,55,1,0,1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0
Kabutops,141,88.1,rock,water,Shellfish ,45,7680,"['Swift Swim', 'Battle Armor', 'Weak Armor']",1000000,70,60,115,105,65,70,80,1,0,1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0
Aerodactyl,142,88.1,rock,flying,Fossil ,45,8960,"['Rock Head', 'Pressure', 'Unnerve']",1250000,70,80,135,85,70,95,150,1,0,0.5,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,0.0,2.0,0.5,0.5,1.0,2.0,2.0,2.0
Snorlax,143,88.1,normal,No Secondary Type,Sleeping ,25,10240,"['Immunity', 'Thick Fat', 'Gluttony']",1250000,70,160,110,65,65,110,30,1,0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Articuno,144,50.0,ice,flying,Freeze ,3,20480,"['Pressure', 'Snow Cloak']",1250000,35,90,85,100,95,125,85,1,1,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0
Zapdos,145,50.0,electric,flying,Electric ,3,20480,"['Pressure', 'Static']",1250000,35,90,90,85,125,90,100,1,1,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,0.5,1.0
Moltres,146,50.0,fire,flying,Flame ,3,20480,"['Pressure', 'Flame Body']",1250000,35,90,100,90,125,85,90,1,1,0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0
Dratini,147,50.0,dragon,No Secondary Type,Dragon ,45,10240,"['Shed Skin', 'Marvel Scale']",1250000,35,41,64,45,50,50,50,1,0,1.0,1.0,2.0,0.5,2.0,1.0,0.5,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5
Dragonair,148,50.0,dragon,No Secondary Type,Dragon ,45,10240,"['Shed Skin', 'Marvel Scale']",1250000,35,61,84,65,70,70,70,1,0,1.0,1.0,2.0,0.5,2.0,1.0,0.5,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5
Dragonite,149,50.0,dragon,flying,Dragon ,45,10240,"['Inner Focus', 'Multiscale']",1250000,35,91,134,95,100,100,80,1,0,0.5,1.0,2.0,1.0,2.0,0.5,0.5,1.0,1.0,0.25,0.0,4.0,1.0,1.0,1.0,2.0,1.0,0.5
Mewtwo,150,50.0,psychic,No Secondary Type,Genetic ,3,30720,"['Pressure', 'Unnerve']",1250000,0,106,150,70,194,120,140,1,1,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
Mew,151,50.0,psychic,No Secondary Type,New Species ,45,30720,['Synchronize'],1059860,100,100,100,100,100,100,100,1,1,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
Chikorita,152,88.1,grass,No Secondary Type,Leaf ,45,5120,"['Overgrow', 'Leaf Guard']",1059860,70,45,49,65,49,65,45,2,0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5
Bayleef,153,88.1,grass,No Secondary Type,Leaf ,45,5120,"['Overgrow', 'Leaf Guard']",1059860,70,60,62,80,63,80,60,2,0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5
Meganium,154,88.1,grass,No Secondary Type,Herb ,45,5120,"['Overgrow', 'Leaf Guard']",1059860,70,80,82,100,83,100,80,2,0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5
Cyndaquil,155,88.1,fire,No Secondary Type,Fire Mouse ,45,5120,"['Blaze', 'Flash Fire']",1059860,70,39,52,43,60,50,65,2,0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
Quilava,156,88.1,fire,No Secondary Type,Volcano ,45,5120,"['Blaze', 'Flash Fire']",1059860,70,58,64,58,80,65,80,2,0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
Typhlosion,157,88.1,fire,No Secondary Type,Volcano ,45,5120,"['Blaze', 'Flash Fire']",1059860,70,78,84,78,109,85,100,2,0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
Totodile,158,88.1,water,No Secondary Type,Big Jaw ,45,5120,"['Torrent', 'Sheer Force']",1059860,70,50,65,64,44,48,43,2,0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
Croconaw,159,88.1,water,No Secondary Type,Big Jaw ,45,5120,"['Torrent', 'Sheer Force']",1059860,70,65,80,80,59,63,58,2,0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
Feraligatr,160,88.1,water,No Secondary Type,Big Jaw ,45,5120,"['Torrent', 'Sheer Force']",1059860,70,85,105,100,79,83,78,2,0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
Sentret,161,50.0,normal,No Secondary Type,Scout ,255,3840,"['Run Away', 'Keen Eye', 'Frisk']",1000000,70,35,46,34,35,45,20,2,0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Furret,162,50.0,normal,No Secondary Type,Long Body ,90,3840,"['Run Away', 'Keen Eye', 'Frisk']",1000000,70,85,76,64,45,55,90,2,0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Hoothoot,163,50.0,normal,flying,Owl ,255,3840,"['Insomnia', 'Keen Eye', 'Tinted Lens']",1000000,70,60,30,30,36,56,50,2,0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
Noctowl,164,50.0,normal,flying,Owl ,90,3840,"['Insomnia', 'Keen Eye', 'Tinted Lens']",1000000,70,100,50,50,86,96,70,2,0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
Ledyba,165,50.0,bug,flying,Five Star ,255,3840,"['Swarm', 'Early Bird', 'Rattled']",800000,70,40,20,30,40,80,55,2,0,0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0
Ledian,166,50.0,bug,flying,Five Star ,90,3840,"['Swarm', 'Early Bird', 'Iron Fist']",800000,70,55,35,50,55,110,85,2,0,0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0
Spinarak,167,50.0,bug,poison,String Spit ,255,3840,"['Swarm', 'Insomnia', 'Sniper']",800000,70,40,60,40,40,40,30,2,0,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
Ariados,168,50.0,bug,poison,Long Leg ,90,3840,"['Swarm', 'Insomnia', 'Sniper']",800000,70,70,90,70,60,70,40,2,0,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
Crobat,169,50.0,poison,flying,Bat ,90,3840,"['Inner Focus', 'Infiltrator']",1000000,70,85,90,80,70,80,130,2,0,0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0
Chinchou,170,50.0,water,electric,Angler ,190,5120,"['Volt Absorb', 'Illuminate', 'Water Absorb']",1250000,70,75,38,38,56,56,67,2,0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,0.25,0.5
Lanturn,171,50.0,water,electric,Light ,75,5120,"['Volt Absorb', 'Illuminate', 'Water Absorb']",1250000,70,125,58,58,76,76,67,2,0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,0.25,0.5
Pichu,172,50.0,electric,No Secondary Type,Tiny Mouse ,190,2560,"['Static', 'Lightningrod']",1000000,70,20,40,15,35,35,60,2,0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
Cleffa,173,24.6,fairy,No Secondary Type,Star Shape ,150,2560,"['Cute Charm', 'Magic Guard', 'Friend Guard']",800000,140,50,25,28,45,55,15,2,0,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
Igglybuff,174,24.6,normal,fairy,Balloon ,170,2560,"['Cute Charm', 'Competitive', 'Friend Guard']",800000,70,90,30,15,40,20,15,2,0,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
Togepi,175,88.1,fairy,No Secondary Type,Spike Ball ,190,2560,"['Hustle', 'Serene Grace', 'Super Luck']",800000,70,35,20,65,40,65,20,2,0,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
Togetic,176,88.1,fairy,flying,Happiness ,75,2560,"['Hustle', 'Serene Grace', 'Super Luck']",800000,70,55,40,85,80,105,40,2,0,0.25,0.5,0.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,0.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0
Natu,177,50.0,psychic,flying,Little Bird ,190,5120,"['Synchronize', 'Early Bird', 'Magic Bounce']",1000000,70,40,50,45,70,45,70,2,0,1.0,2.0,1.0,2.0,1.0,0.25,1.0,1.0,2.0,0.5,0.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0
Xatu,178,50.0,psychic,flying,Mystic ,75,5120,"['Synchronize', 'Early Bird', 'Magic Bounce']",1000000,70,65,75,70,95,70,95,2,0,1.0,2.0,1.0,2.0,1.0,0.25,1.0,1.0,2.0,0.5,0.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0
Mareep,179,50.0,electric,No Secondary Type,Wool ,235,5120,"['Static', 'Plus']",1059860,70,55,40,40,65,45,35,2,0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
Flaaffy,180,50.0,electric,No Secondary Type,Wool ,120,5120,"['Static', 'Plus']",1059860,70,70,55,55,80,60,45,2,0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
Ampharos,181,50.0,electric,No Secondary Type,Light ,45,5120,"['Static', 'Plus']",1059860,70,90,95,105,165,110,45,2,0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
Bellossom,182,50.0,grass,No Secondary Type,Flower ,45,5120,"['Chlorophyll', 'Healer']",1059860,70,75,80,95,90,100,50,2,0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5
